film,fandango_stars,fandango_rating_value,fandango_votes,fandango_difference
Fantastic Four (2015),3,2.7,6288,0.3
Unfriended (2015),3,2.7,2507,0.3
Poltergeist (2015),3,2.8,2704,0.2
Blackhat (2015),3,2.8,1430,0.2
The Gallows (2015),3,2.9,1896,0.1
The Vatican Tapes (2015),3,2.9,210,0.1
It Follows (2015),3,2.9,2097,0.1
Inherent Vice (2014),3,2.9,1078,0.1
While We're Young (2015),3,2.9,449,0.1
The Lazarus Effect (2015),3,3,1651,0
The Woman In Black 2 Angel of Death (2015),3,3,1333,0
Serena (2015),3,3,50,0
Hot Tub Time Machine 2 (2015),3.5,3,1021,0.5
Aloha (2015),3.5,3.1,2284,0.4
Saint Laurent (2015),3.5,3.1,43,0.4
Maps to the Stars (2015),3.5,3.1,35,0.4
Seventh Son (2015),3.5,3.2,1213,0.3
Mortdecai (2015),3.5,3.2,1196,0.3
Unfinished Business (2015),3.5,3.2,821,0.3
True Story (2015),3.5,3.2,540,0.3
Mr. Turner (2014),3.5,3.2,290,0.3
Sinister 2 (2015),3.5,3.3,973,0.2
Maggie (2015),3.5,3.3,95,0.2
The SpongeBob Movie: Sponge Out of Water (2015),3.5,3.3,4493,0.2
The Overnight (2015),3.5,3.3,110,0.2
Jupiter Ascending (2015),3.5,3.4,4122,0.1
Strange Magic (2015),3.5,3.4,1117,0.1
The Gunman (2015),3.5,3.4,996,0.1
Cake (2015),3.5,3.4,482,0.1
Into the Woods (2014),3.5,3.4,13055,0.1
A Most Violent Year (2014),3.5,3.4,675,0.1
Clouds of Sils Maria (2015),3.5,3.4,162,0.1
Phoenix (2015),3.5,3.4,70,0.1
The Wolfpack (2015),3.5,3.4,66,0.1
Paul Blart: Mall Cop 2 (2015),3.5,3.5,3054,0
'71 (2015),3.5,3.5,192,0
"Two Days, One Night (2014)",3.5,3.5,118,0
Gett: The Trial of Viviane Amsalem (2015),3.5,3.5,59,0
"Kumiko, The Treasure Hunter (2015)",3.5,3.5,41,0
Irrational Man (2015),4,3.5,252,0.5
Top Five (2014),4,3.5,3223,0.5
Black Sea (2015),4,3.5,218,0.5
Leviathan (2014),4,3.5,64,0.5
The Boy Next Door (2015),4,3.6,2800,0.4
The Loft (2015),4,3.6,811,0.4
5 Flights Up (2015),4,3.6,79,0.4
Welcome to Me (2015),4,3.6,56,0.4
I'll See You In My Dreams (2015),4,3.6,281,0.4
Timbuktu (2015),4,3.6,74,0.4
About Elly (2015),4,3.6,43,0.4
The Diary of a Teenage Girl (2015),4,3.6,38,0.4
Tomorrowland (2015),4,3.7,8077,0.3
Hot Pursuit (2015),4,3.7,2618,0.3
Project Almanac (2015),4,3.7,1834,0.3
Ricki and the Flash (2015),4,3.7,1462,0.3
American Ultra (2015),4,3.7,638,0.3
Child 44 (2015),4,3.7,308,0.3
Dark Places (2015),4,3.7,55,0.3
Birdman (2014),4,3.7,4194,0.3
The Gift (2015),4,3.7,2680,0.3
Vacation (2015),4,3.8,3815,0.2
Chappie (2015),4,3.8,3642,0.2
Paper Towns (2015),4,3.8,1750,0.2
Big Eyes (2014),4,3.8,1501,0.2
Self/less (2015),4,3.8,1415,0.2
Fifty Shades of Grey (2015),4,3.9,34846,0.1
Get Hard (2015),4,3.9,5933,0.1
Focus (2015),4,3.9,4933,0.1
The Second Best Exotic Marigold Hotel (2015),4,3.9,1870,0.1
Hitman: Agent 47 (2015),4,3.9,917,0.1
A Little Chaos (2015),4,3.9,83,0.1
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),4,3.9,63,0.1
Escobar: Paradise Lost (2015),4,3.9,48,0.1
Testament of Youth (2015),4,3.9,127,0.1
Infinitely Polar Bear (2015),4,3.9,124,0.1
The Stanford Prison Experiment (2015),4,3.9,51,0.1
Tangerine (2015),4,3.9,36,0.1
Minions (2015),4,4,14998,0
Danny Collins (2015),4,4,531,0
Mr. Holmes (2015),4,4,1348,0
The Water Diviner (2015),4.5,4,397,0.5
Shaun the Sheep Movie (2015),4.5,4,896,0.5
Love & Mercy (2015),4.5,4,864,0.5
Far From The Madding Crowd (2015),4.5,4,804,0.5
Unbroken (2014),4.5,4.1,9443,0.4
Taken 3 (2015),4.5,4.1,6757,0.4
Ted 2 (2015),4.5,4.1,6437,0.4
Night at the Museum: Secret of the Tomb (2014),4.5,4.1,5445,0.4
Pixels (2015),4.5,4.1,3886,0.4
Insidious: Chapter 3 (2015),4.5,4.1,3276,0.4
The Man From U.N.C.L.E. (2015),4.5,4.1,2686,0.4
Run All Night (2015),4.5,4.1,2066,0.4
Trainwreck (2015),4.5,4.1,8381,0.4
Ex Machina (2015),4.5,4.1,3458,0.4
Still Alice (2015),4.5,4.1,1258,0.4
Wild Tales (2014),4.5,4.1,235,0.4
The End of the Tour (2015),4.5,4.1,121,0.4
Red Army (2015),4.5,4.1,54,0.4
When Marnie Was There (2015),4.5,4.1,46,0.4
The Hunting Ground (2015),4.5,4.1,42,0.4
Kingsman: The Secret Service (2015),4.5,4.2,15205,0.3
The Divergent Series: Insurgent (2015),4.5,4.2,7123,0.3
Annie (2014),4.5,4.2,6835,0.3
Terminator Genisys (2015),4.5,4.2,6272,0.3
Pitch Perfect 2 (2015),4.5,4.2,4577,0.3
Entourage (2015),4.5,4.2,4279,0.3
The Age of Adaline (2015),4.5,4.2,3325,0.3
The DUFF (2015),4.5,4.2,2273,0.3
Black or White (2015),4.5,4.2,1862,0.3
Monkey Kingdom (2015),4.5,4.2,701,0.3
Seymour: An Introduction (2015),4.5,4.2,41,0.3
The Wrecking Crew (2015),4.5,4.2,38,0.3
The Hobbit: The Battle of the Five Armies (2014),4.5,4.3,15337,0.2
San Andreas (2015),4.5,4.3,9749,0.2
Little Boy (2015),4.5,4.3,811,0.2
Me and Earl and The Dying Girl (2015),4.5,4.3,624,0.2
Mad Max: Fury Road (2015),4.5,4.3,10509,0.2
Spy (2015),4.5,4.3,9418,0.2
Paddington (2015),4.5,4.3,4045,0.2
Dope (2015),4.5,4.3,2195,0.2
What We Do in the Shadows (2015),4.5,4.3,259,0.2
The Salt of the Earth (2015),4.5,4.3,83,0.2
Song of the Sea (2014),4.5,4.3,66,0.2
Magic Mike XXL (2015),4.5,4.4,9363,0.1
Home (2015),4.5,4.4,7705,0.1
The Wedding Ringer (2015),4.5,4.4,6506,0.1
Woman in Gold (2015),4.5,4.4,2435,0.1
The Last Five Years (2015),4.5,4.4,99,0.1
Mission: Impossible Ã¢â‚¬â€œ Rogue Nation (2015),4.5,4.4,8357,0.1
Amy (2015),4.5,4.4,729,0.1
Jurassic World (2015),4.5,4.5,34390,0
Max (2015),4.5,4.5,3412,0
The Longest Ride (2015),4.5,4.5,2603,0
Spare Parts (2015),4.5,4.5,450,0
Inside Out (2015),4.5,4.5,15749,0
Avengers: Age of Ultron (2015),5,4.5,14846,0.5
Cinderella (2015),5,4.5,12640,0.5
Ant-Man (2015),5,4.5,12055,0.5
Do You Believe? (2015),5,4.5,1793,0.5
The Imitation Game (2014),5,4.6,8055,0.4
Southpaw (2015),5,4.6,5597,0.4
"McFarland, USA (2015)",5,4.6,3364,0.4
Selma (2014),5,4.6,7025,0.4
American Sniper (2015),5,4.8,34085,0.2
Furious 7 (2015),5,4.8,33538,0.2
Straight Outta Compton (2015),5,4.8,8096,0.2
